Time,"S&P 500 Index (US) - Close International  - Close
  - $"
201701,2265.2
201612,2238.83
201611,2198.81
201610,2126.15
201609,2168.27
201608,2170.95
201607,2173.6
201606,2098.86
201605,2096.95
201604,2065.3
201603,2059.74
201602,1932.23
201601,1940.24
201512,2043.94
201511,2080.41
201510,2079.36
201509,1920.03
201508,1972.18
201507,2103.84
201506,2063.11
201505,2107.39
201504,2085.51
201503,2067.89
201502,2104.5
201501,1994.99
201412,2058.9
201411,2067.56
201410,2018.05
201409,1972.29
201408,2003.37
201407,1930.67
201406,1960.23
201405,1923.57
201404,1883.95
201403,1872.34
201402,1859.45
201401,1782.59
201312,1848.36
201311,1805.81
201310,1756.54
201309,1681.55
201308,1632.97
201307,1685.73
201306,1606.28
201305,1630.74
201304,1597.57
201303,1569.19
201302,1514.68
201301,1498.11
201212,1426.19
201211,1416.18
201210,1412.16
201209,1440.67
201208,1406.58
201207,1379.32
201206,1362.16
201205,1310.33
201204,1397.91
201203,1408.47
201202,1365.68
201201,1312.41
201112,1257.6
201111,1246.96
201110,1253.3
201109,1131.42
201108,1218.89
201107,1292.28
201106,1320.64
201105,1345.2
201104,1363.61
201103,1325.83
201102,1327.22
201101,1286.12
201012,1257.64
201011,1180.55
201010,1183.26
201009,1141.2
201008,1049.33
201007,1101.6
201006,1030.71
201005,1089.41
201004,1186.69
201003,1169.43
201002,1104.49
201001,1073.87
200912,1115.1
200911,1095.63
200910,1036.19
200909,1057.08
200908,1020.62
200907,987.48
200906,919.32
200905,919.14
200904,872.81
200903,797.87
200902,735.09
200901,825.88
200812,903.25
200811,896.24
200810,968.75
200809,1166.36
200808,1282.83
200807,1267.38
200806,1280
200805,1400.38
200804,1385.59
200803,1322.7
200802,1330.63
200801,1378.55
200712,1468.36
200711,1481.14
200710,1549.38
200709,1526.75
200708,1473.99
200707,1455.27
200706,1503.35
200705,1530.62
200704,1482.37
200703,1420.86
200702,1406.82
200701,1438.24
200612,1418.3
200611,1400.63
200610,1377.94
200609,1335.85
200608,1303.82
200607,1276.66
200606,1270.2
200605,1270.09
200604,1310.61
200603,1294.87
200602,1280.66
200601,1280.08
200512,1248.29
200511,1249.48
200510,1207.01
200509,1228.81
200508,1220.33
200507,1234.18
200506,1191.33
200505,1191.5
200504,1156.85
200503,1180.59
200502,1203.6
200501,1181.27
200412,1211.92
200411,1173.82
200410,1130.2
200409,1114.58
200408,1104.24
200407,1101.72
200406,1140.84
200405,1120.68
200404,1107.3
200403,1126.21
200402,1144.94
200401,1131.13
200312,1111.92
200311,1058.2
200310,1050.71
200309,995.97
200308,1008.01
200307,990.31
200306,974.5
200305,963.59
200304,916.92
200303,848.18
200302,841.15
200301,855.7
200212,879.82
200211,936.31
200210,885.76
200209,815.28
200208,916.07
200207,911.62
200206,989.82
200205,1067.14
200204,1076.92
200203,1147.39
200202,1106.73
200201,1130.2
200112,1148.08
200111,1139.45
200110,1059.78
200109,1040.94
200108,1133.58
200107,1211.23
200106,1224.38
200105,1255.82
200104,1249.46
200103,1160.33
200102,1239.94
200101,1366.01
200012,1320.28
200011,1314.95
200010,1429.4
200009,1436.51
200008,1517.68
200007,1430.83
200006,1454.6
200005,1420.6
200004,1452.43
200003,1498.58
200002,1366.42
200001,1394.46
199912,1469.25
199911,1388.91
199910,1362.93
199909,1282.71
199908,1320.41
199907,1328.72
199906,1372.71
199905,1301.84
199904,1335.18
199903,1286.37
199902,1238.33
199901,1279.64
199812,1229.23
199811,1163.63
199810,1098.67
199809,1017.01
199808,957.28
199807,1120.67
199806,1133.84
199805,1090.82
199804,1111.75
199803,1101.75
199802,1049.34
199801,980.28
199712,970.43
199711,955.4
199710,914.62
199709,947.28
199708,899.47
199707,954.31
199706,885.14
199705,848.28
199704,801.34
199703,757.12
199702,790.82
199701,786.16
199612,740.74
199611,757.02
199610,705.27
199609,687.33
199608,651.99
199607,639.95
199606,670.63
199605,669.12
199604,654.17
199603,645.5
199602,640.43
199601,636.02
199512,615.93
199511,605.37
199510,581.5
199509,584.41
199508,561.88
199507,562.06
199506,544.75
199505,533.4
199504,514.71
199503,500.71
199502,487.39
199501,470.42
199412,459.27
199411,453.69
199410,472.35
199409,462.71
199408,475.49
199407,458.26
199406,444.27
199405,456.5
199404,450.91
199403,445.77
199402,467.14
199401,481.61
199312,466.45
199311,461.79
199310,467.83
199309,458.93
199308,463.56
199307,448.13
199306,450.53
199305,450.19
199304,440.19
199303,451.67
199302,443.38
199301,438.78
199212,435.71
199211,431.35
199210,418.68
199209,417.8
199208,414.03
199207,424.21
199206,408.14
199205,415.35
199204,414.95
199203,403.69
199202,412.7
199201,408.78
199112,417.09
199111,375.22
199110,392.45
199109,387.86
199108,395.43
199107,387.81
199106,371.16
199105,389.83
199104,375.34
199103,375.22
199102,367.07
199101,343.93
199012,330.22
199011,322.22
199010,304
199009,306.05
199008,322.56
199007,356.15
199006,358.02
199005,361.23
199004,330.8
199003,339.94
199002,331.89
199001,329.08
