Time,"Money Stock Measures M1 (Seas Adj) USA  - M1
  - $"
199211,1.0157E+12
199210,1.0037E+12
199209,9.88E+11
199208,9.737E+11
199207,9.633E+11
199206,9.543E+11
199205,9.506E+11
199204,9.438E+11
199203,9.367E+11
199202,9.252E+11
199201,9.104E+11
199112,8.97E+11
199111,8.876E+11
199110,8.78E+11
199109,8.697E+11
199108,8.668E+11
199107,8.616E+11
199106,8.567E+11
199105,8.488E+11
199104,8.431E+11
199103,8.387E+11
199102,8.326E+11
199101,8.272E+11
199012,8.247E+11
199011,8.221E+11
199010,8.199E+11
199009,8.202E+11
199008,8.157E+11
199007,8.101E+11
199006,8.088E+11
199005,8.042E+11
199004,8.061E+11
199003,8.015E+11
199002,7.981E+11
199001,7.954E+11
